time,ema_diff,atr,rsi,volume_norm,volatility_regime,trend,target
2025-12-15 16:19:00,1.661775175271032,4.919285714285901,56.021194605010095,0.6986444212721585,0,1.0,0
2025-12-15 16:20:00,1.5699140812539554,4.8207142857144,57.81754909271353,1.0808850199492201,0,1.0,0
2025-12-15 16:21:00,1.566550556646689,4.776428571428759,57.775566061208806,0.8707326428845417,0,1.0,0
2025-12-15 16:22:00,0.9835462208538956,5.062142857143044,40.748802786243395,1.1115444617784713,0,1.0,0
2025-12-15 16:23:00,0.17896057985490188,5.34785714285733,36.25834314880314,1.3631975284804017,0,1.0,1
2025-12-15 16:24:00,-0.15697319613900618,5.385000000000218,38.95469073134097,1.3181386514719848,0,-1.0,1
2025-12-15 16:25:00,-0.8545702574483585,5.635000000000218,36.38918159466161,2.066869300911854,0,-1.0,0
2025-12-15 16:26:00,-1.3524643592718348,5.7778571428573615,39.60049062554907,1.5400918403391026,0,-1.0,0
2025-12-15 16:27:00,-1.77125945858279,6.177857142857517,33.3655519041194,2.435855797336798,0,-1.0,0
2025-12-15 16:28:00,-1.0525042761582881,7.843571428571782,51.958968514033266,3.1845322718225764,0,-1.0,0
2025-12-15 16:29:00,0.12020449316332815,8.40285714285736,60.05201560468065,2.3221947731114287,0,1.0,0
2025-12-15 16:30:00,-0.37119509015610674,10.987857142857527,45.900009939369866,6.052157420578474,0,-1.0,0
2025-12-15 16:31:00,-0.7409506753210735,11.817857142857454,43.513906185139106,3.976335045928694,0,-1.0,0
2025-12-15 16:32:00,-1.154842969521269,13.028571428571793,41.56777014365994,3.3249769098825706,1,-1.0,0
2025-12-15 16:33:00,-3.5775454475988226,15.457142857143221,30.724838411819448,2.544987146529563,1,-1.0,0
2025-12-15 16:34:00,-7.229857142556284,17.294285714285902,25.583034341363884,2.476150974699295,1,-1.0,0
2025-12-15 16:35:00,-8.823118355845509,19.49928571428583,36.30730423338464,2.5573620334325624,1,-1.0,0
2025-12-15 16:36:00,-8.923056466162961,21.207857142857133,45.541499537179746,2.1778989098116948,1,-1.0,0
2025-12-15 16:37:00,-9.005736349299696,22.17214285714285,46.67685658567416,1.8214908622127852,1,-1.0,0
2025-12-15 16:38:00,-11.284869893472205,24.931428571428633,36.76029207543751,1.6007036059806508,1,-1.0,0
2025-12-15 16:39:00,-14.956703553649277,26.610000000000063,33.23478190433718,1.557762676424464,1,-1.0,0
2025-12-15 16:40:00,-16.88485511612089,28.6428571428574,38.16347199819921,1.721694557515453,1,-1.0,0
2025-12-15 16:41:00,-18.21106397157928,30.341428571428747,39.292947891732204,1.559219550429695,1,-1.0,0
2025-12-15 16:42:00,-20.26228356872889,31.031428571428737,32.452984161133244,1.4090861399643269,1,-1.0,0
2025-12-15 16:43:00,-22.29854529671502,31.552142857143085,29.268109125117547,1.3213658729570013,1,-1.0,0
2025-12-15 16:44:00,-24.636888422359334,29.895714285714348,31.05981950323431,1.2165928840793572,1,-1.0,1
2025-12-15 16:45:00,-27.71200503887303,31.119285714285848,28.471835947639462,1.2647359757996353,1,-1.0,1
2025-12-15 16:46:00,-29.86147800789331,31.36428571428587,30.59498311975881,1.1439340999089427,0,-1.0,0
2025-12-15 16:47:00,-31.9685867120279,30.051428571428655,34.42529205130256,1.1169802121002803,0,-1.0,0
2025-12-15 16:48:00,-33.134640733220294,29.83785714285737,41.47223569884842,1.0282198426314857,0,-1.0,0
2025-12-15 16:49:00,-32.59594580399062,29.46285714285737,40.885602280826355,0.8466300126879157,0,-1.0,0
2025-12-15 16:50:00,-33.60144649276481,29.49428571428611,30.107107237327142,1.011880456551751,0,-1.0,0
2025-12-15 16:51:00,-34.491190055112384,29.422142857143108,29.848243841623372,0.9643434402445911,0,-1.0,0
2025-12-15 16:52:00,-36.627685383147764,28.796428571428674,31.668491151250194,0.9503189186026099,0,-1.0,0
2025-12-15 16:53:00,-38.29151956509668,28.351428571428706,37.20684555250377,0.9374211210997417,0,-1.0,0
2025-12-15 16:54:00,-38.943866479319695,27.237857142857006,33.7272828631946,0.8950521238524972,0,-1.0,0
2025-12-15 16:55:00,-40.06633100894396,26.468571428571263,29.651442951223117,0.980618411531165,0,-1.0,0
2025-12-15 16:56:00,-41.73220323400528,25.566428571428332,30.014633353205227,0.9715518932705514,0,-1.0,0
2025-12-15 16:57:00,-43.47935377425165,25.600714285714016,29.65303062754279,0.8900255754475703,0,-1.0,0
2025-12-15 16:58:00,-44.73096884229017,25.582142857142703,32.34463276836085,0.8789650894914053,0,-1.0,0
2025-12-15 16:59:00,-45.72193966673149,24.28785714285706,36.23417721518924,0.7485333598488615,0,-1.0,0
2025-12-15 17:00:00,-47.521291747856594,25.919999999999813,29.214868753302767,1.07002454550897,0,-1.0,1
2025-12-15 17:01:00,-48.73764246731298,26.492142857142557,31.5956428058401,1.0888893328804619,0,-1.0,0
2025-12-15 17:02:00,-49.6409776213186,25.7614285714283,27.269847304059482,0.9123697837957646,0,-1.0,1
2025-12-15 17:03:00,-51.431305462490855,25.86857142857116,11.420757911183145,0.976746070328958,0,-1.0,1
2025-12-15 17:04:00,-53.20167894361293,24.860714285713975,13.25273894975085,0.8809222090504026,0,-1.0,1
2025-12-15 17:05:00,-51.76153981676907,27.807857142856978,37.42895352724786,1.0654121127455007,0,-1.0,0
2025-12-15 17:06:00,-51.32473712175852,27.52214285714269,39.31979160568883,1.0004959087527894,0,-1.0,0
2025-12-15 17:07:00,-49.93429617166839,27.91214285714263,43.79744090218985,0.930757180156658,0,-1.0,0
